Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
0.21,1142.649127531723,1106.9020456226426,1135.1102488922652,1145.6639449227346,1042.624220494297,1.024710026,0.992652597,1.017949276,1.027413667,0.93500924
0.22,1144.759255786154,1109.7426316869096,1138.9895133531193,1148.8175416175588,1045.1106311307813,1.024668212,0.993325009,1.019503745,1.028300763,0.935473233
0.23,1146.762187891537,1112.4569910719292,1142.708693772317,1151.8358987416516,1047.486554549192,1.024633704,0.99398196,1.021011901,1.029167072,0.93593078
0.24,1148.667686398098,1115.0558673765045,1146.2809417784867,1154.730327047445,1049.7613954458502,1.024605559,0.994623993,1.022476595,1.030013403,0.936381666
0.25,1150.4842635252412,1117.5486883273695,1149.7178346250012,1157.5107679082817,1051.943406514329,1.024582979,0.995251653,1.023900423,1.03084055,0.936825773
0.26,1152.219383952459,1119.943772269704,1153.0296181515107,1160.1860063585898,1054.039869,1.024565289,0.995865484,1.025285757,1.031649291,0.937263057
0.27,1153.8796283208517,1122.248495677777,1156.225404475524,1162.763844192947,1056.057240569295,1.024551906,0.996466015,1.026634766,1.032440372,0.937693527
0.28,1155.470826207285,1124.469430195284,1159.3133341924758,1165.2512417941766,1058.0012728786387,1.024542334,0.997053762,1.02794944,1.033214513,0.938117232
0.29,1156.998165140642,1126.6124556245632,1162.300710480701,1167.6544352399649,1059.8771129090746,1.024536142,0.997629222,1.029231612,1.033972401,0.938534253
0.3,1158.4662806413517,1128.6828537574038,1165.1941107672656,1169.9790336899546,1061.689383907447,1.024532957,0.99819287,1.030482965,1.03471469,0.938944691
0.31,1159.879331100557,1130.685386819241,1167.9994803234488,1172.2301009122004,1063.4422543028195,1.024532451,0.998745162,1.031705056,1.035442004,0.939348664
0.32,1161.2410604511233,1132.6243634579005,1170.7222111961005,1174.4122239540595,1065.1394954765274,1.024534341,0.999286535,1.032899326,1.036154934,0.939746301
0.33,1162.554851,1134.503694577725,1173.3672091537696,1176.5295713181952,1066.7845306413074,1.024538377,0.999817404,1.03406711,1.036854043,0.940137741
0.34,1163.8237677789473,1136.3269408383055,1175.9389507715914,1178.5859425132753,1068.3804764228407,1.024544335,1.000338163,1.035209646,1.037539861,0.940523123
0.35,1165.050597222083,1138.0973532673088,1178.441532,1180.5848104713125,1069.930178413022,1.024552023,1.000849189,1.036328086,1.038212897,0.940902594
0.36,1166.2378790367447,1139.8179081528797,1180.8787120446354,1182.529358030728,1071.4362417144876,1.024561267,1.001350841,1.037423506,1.038873629,0.941276298
0.37,1167.387934475567,1141.491337154701,1183.2539462765958,1184.4225094553112,1072.901057299663,1.024571913,1.001843456,1.038496907,1.03952251,0.941644381
0.38,1168.5028903888574,1143.1201533998246,1185.5704213850845,1186.2669577789711,1074.3268248547977,1.024583824,1.002327361,1.039549227,1.040159974,0.942006986
0.39,1169.5847001240095,1144.7066741891904,1187.8310812003313,1188.0651886232215,1075.7155726562778,1.024596876,1.00280286,1.040581341,1.040786427,0.942364256
