PEEQ,C1,C2,C3,C4,C5,C6,C7,R²
1.21,0.7659214290583656,0.006091564761706753,0.8854103201677809,0.18483527637208136,523.443579599791,145.25480982455525,1.0079766431049526,0.9999999999999967
1.22,0.6964018742360525,0.005778939321008133,0.8871800147095126,0.18144880120070433,523.5210043916463,144.8287099638212,1.033697452442392,0.9999999999999968
1.23,0.6870839205898644,0.005742976905406578,0.8877127585032119,0.181148494411256,523.4108258660661,133.19576593042765,0.8786576223795222,1.0
1.24,0.7094891507581742,0.005863314746443484,0.8876637860181614,0.18252780349309644,523.1968503270291,142.6150238831874,0.99784206986031,0.999999999999963
1.25,0.7154226633593841,0.00590204043587339,0.8879138682694472,0.1830238235293225,523.0386766928815,148.58914748609465,1.0811587672604692,0.999999999999928
1.26,0.776529285047737,0.006190870445650724,0.8870933872378626,0.18619923076209624,522.7000027943373,146.5507873611787,1.0263580618958674,0.9999999999999999
1.27,0.7152691557800853,0.005921611679908753,0.8886297761337876,0.18339230749749158,522.7664570078501,147.24053767765398,1.063240031382307,0.9999999999999981
1.28,0.7336803814067658,0.006018618775193481,0.8886464798631158,0.18449104075865616,522.5696349858562,145.9062426720377,1.0367786035734188,0.9999999999999991
1.29,0.7103530832187759,0.0059179535972380065,0.8894153174366263,0.18352027157235773,522.5166605285325,152.79114098886575,1.1489525573465937,0.999999999999999
1.3,0.7251870769524451,0.0059988146771665874,0.8895004490838441,0.18443827178006655,522.3337855996239,172.66352174029473,1.459217569194331,0.9999999999988458
1.31,0.703688907592153,0.005905203555556097,0.8902116515365385,0.18356294747660618,522.2793421376948,147.04931506949495,1.0687021316547376,0.9999999999999972
1.32,0.7610535311338633,0.006183569025133199,0.8895459726755129,0.18649046674161698,521.9506837674069,146.26544642518957,1.0339015607246809,0.99999999999927
1.33,0.7612765059283317,0.006194445173781555,0.8898867759172162,0.18667043699397504,521.8217816613475,145.68010408905081,1.026397543627037,0.9999999999999949
1.34,0.6930761521879877,0.0058816570255727715,0.891379067004475,0.1836003509108616,521.937185961836,141.44984281420938,0.9952605095377015,0.9999999999995222
1.35,0.698129425860623,0.0059163408189775325,0.8916248287151959,0.1840380241592143,521.7947425895123,147.4320940980755,1.0796109531635731,1.0
1.36,0.696839560416025,0.005919406385064638,0.8919676575897771,0.18416152268990904,521.6766261059805,148.54310763034712,1.0972286021738067,1.0
1.37,0.6998803133202283,0.005943943341315325,0.892242144680756,0.18449422243636163,521.5435322051986,148.92176870567536,1.1021518371538208,0.9999999999977193
1.38,0.7067433641229062,0.005987108411668635,0.8924540106029548,0.1850072767376885,521.3978172647346,142.05270219250983,1.0006667629406156,1.0
1.39,0.7064025681349391,0.005994768428227135,0.8927754210595965,0.18517282461225942,521.279697628481,148.23601760341586,1.0905336965775487,0.9999999999999978
1.4,0.7002564106375891,0.005973712939195801,0.8931803930071017,0.18506356452150385,521.1845976959024,145.87881763110323,1.0594074105194407,0.9999999999999644
1.41,0.7268093578279299,0.006111855582294222,0.8930900587631188,0.1864748295356342,520.968214388286,137.27059468851274,0.9289730735464954,0.9999999999996159
1.42,0.6796637594552014,0.005887977341977599,0.8940855415286849,0.18444679907404776,521.0309555494174,144.13598788169625,1.0441845433365256,1.0
1.43,0.696379799002952,0.005981825766474701,0.894156861641405,0.18542610300542944,520.8520904009747,147.85446644802332,1.0920014791866655,0.9999999999999987
1.44,0.6775163914244687,0.005894899336403305,0.8947132966170898,0.18471568237828376,520.8120024745863,143.5221385509534,1.0373813975507353,0.9999999999999329
1.45,0.6798324790444651,0.0059157780833293885,0.8949790759433847,0.18501096491578525,520.6908426749303,148.74711268524638,1.1138628255450336,0.9999999999999392
1.46,0.6931585250746671,0.005992570267892424,0.8950973701053995,0.18581762758083217,520.5274653982146,148.08148645196292,1.0987173320244064,0.9999999999999906
1.47,0.6750545237292093,0.005908739656557796,0.8956249573682645,0.1851523979256296,520.4888044975135,141.7509300692791,1.0146112007888295,0.9999999999999988
1.48,0.6819855577048208,0.005953354088543595,0.8958265289785629,0.1856601817911877,520.3523085867906,147.345257180801,1.0938553688999604,0.9999999999999709
1.49,0.7282895630050454,0.006191209683739175,0.8954912878073736,0.1879141297501885,520.0635111818021,143.7788794854381,1.0241018432130176,0.9999999999999978
1.5,0.7112867631172933,0.0061178746211469764,0.8960181750475837,0.18734163629315548,520.0215761166337,137.19537494820108,0.93888852478423,0.9999999999999962
1.51,0.5239790916759685,0.005024526566917879,0.8976364188199516,0.17790241085652642,520.7229431756368,102.22983513004678,0.5667930752059573,0.9999999999999859
1.52,0.7327685942806825,0.006238794648963418,0.8962988635655396,0.18860835403519338,519.7261836546406,141.34100335917356,0.990041271296599,0.9999999999990352
1.53,0.6896433188741086,0.006035778822634239,0.8971480942701514,0.18690195428799833,519.7912940223689,142.0936360296385,1.0171048165725738,0.9999999999999614
1.54,0.6717465141690347,0.005951803063097473,0.8976362142406553,0.18626900366840377,519.7608947847925,146.50169633377917,1.089198477017394,1.0
1.55,0.6790346260950555,0.005998268998374643,0.8978259354794308,0.18677805408487233,519.6289073416915,152.3766665007853,1.1756318317096885,0.9999999999999799
1.56,0.6816979179819364,0.006020462019992356,0.8980672206703211,0.18707354282169797,519.5167263169999,148.89314385454983,1.1219613544912173,0.9999999999999998
1.57,0.6926892728731214,0.006085098914624645,0.8982100429207702,0.18773208396056895,519.3712807007213,135.4959158032242,0.9258636743628065,0.9999999999977551
1.58,0.6732884689454618,0.005993382818773978,0.8986992520161251,0.18704912999644077,519.35153388403,144.9072186553417,1.0671808419635591,0.9999999999999966
1.59,0.6845140201171722,0.006059982759641411,0.8988406993520883,0.1877199191849218,519.2064198192579,135.7119504229566,0.9326226722075843,0.9999999999992087
1.6,0.6587408080553985,0.005932529756584386,0.899378518161041,0.1867475551884389,519.2164130612257,147.6230656263434,1.114799877008562,0.9999999999999787
1.61,0.43988696144637773,0.004418998238914123,0.8987622889661269,0.17459426181655227,520.1873656719255,104.24353110219376,0.6195283458046889,0.9999999999999997
1.62,0.6710003074814185,0.006014161555554433,0.8997725621327937,0.18764666355118284,518.9719817571448,147.38481367301577,1.1071596071940184,1.0
1.63,0.6936581843368465,0.006139471698545104,0.8997863700283208,0.18879520190767946,518.78249306806,137.26877314076097,0.953040649738099,0.9999999999999993
1.64,0.674996766790674,0.0060513379316863925,0.900244678795239,0.18816616837401792,518.7655689215056,149.50146963719985,1.138654629888344,1.0
1.65,0.6712405806030479,0.006039608564123648,0.9005370128306389,0.18817480408854287,518.6878056864576,153.26777739952578,1.1989792838414726,0.9999999999999969
1.66,0.6505891311790003,0.005936535611954477,0.9009843820458099,0.18743958797457766,518.683545035744,143.44892853233446,1.0588332385752945,1.0
1.67,0.7210655257782312,0.0063078018767736875,0.900500514384538,0.19057584699529753,518.2968535481167,147.77360700257847,1.0966480146547308,0.999999999999586
1.68,0.6802048675997415,0.0061104266839061465,0.9011989250397736,0.1890666984628373,518.3737262339093,143.42200933307137,1.04807865344962,1.0
1.69,0.6830766055522131,0.006133213200800289,0.9014177205802251,0.1893542318968096,518.271042608148,134.72049047849245,0.9242954887871037,0.9999999999999978
1.7,0.7004721553742194,0.00622982981845884,0.9014834733357557,0.19023362724664641,518.1085563285428,144.36049639479216,1.0555466912741411,0.9999999999999977
1.71,0.5802101231508856,0.0055619183618664915,0.9026367245829705,0.1850387959978315,518.5533612470326,101.90951088790936,0.5506007371305085,1.0
1.72,0.6619442515655213,0.006045121116193773,0.9023509693644294,0.18896576243862873,518.0940553928796,146.3095414967727,1.099899940458835,0.9999999999999978
1.73,0.667690355750136,0.006083578759982035,0.9025388385547647,0.189376587176529,517.9816669716253,145.14964078478295,1.080831808048039,1.0
1.74,0.6675046093542925,0.006090269766185097,0.9027788528434104,0.1895354333382091,517.8956044863364,157.41612014296186,1.271906630598614,0.9999999999999665
