strain,RD,DD,TD,biaxial
0.3,1128.6828537574038,1122.2653438386099,1186.382940909532,1143.2877398395826
0.31,1130.685386819241,1124.2716118166416,1189.244569983543,1145.4119069553549
0.32,1132.6243634579005,1126.2166166967017,1192.0276819115766,1147.4681973512868
0.33,1134.503694577725,1128.1040424436621,1194.7367437003027,1149.4613405065884
0.34,1136.3269408383055,1129.9372486057773,1197.3758437632728,1151.394440465448
0.35,1138.0973532673088,1131.71930743188,1199.948733972045,1153.2710951250947
0.36,1139.8179081528797,1133.4530358187908,1202.4588659911497,1155.0944289713211
0.37,1141.491337154701,1135.1410229293417,1204.9094228070444,1156.868178298425
0.38,1143.1201533998246,1136.7856541681786,1207.3033461982411,1158.4627294591965
0.39,1144.7066741891904,1138.3891320777147,1209.64336076054,1160.1460427195743
0.4,1146.253040829091,1139.9534946170754,1211.9319949945766,1161.786656532724
0.41,1147.761236014427,1141.4806312089754,1214.1715998790366,1163.3870230581804
0.42,1149.233099117002,1142.9722968735211,1216.3643652816663,1164.9472824215106
0.43,1150.6703396752127,1144.4301247170852,1218.5123345050333,1166.471475336287
0.44,1152.074549333367,1145.8556370011831,1220.6174172170104,1167.9603421254023
0.45,1153.4472124384483,1147.2502549798412,1222.6814009761556,1169.3023181032152
0.46,1154.789715473773,1148.6153076687297,1224.7059615344901,1170.7273917552427
0.47,1156.1033554766327,1149.9520396796934,1226.6926720677193,1172.1213034441028
0.48,1157.3893475710647,1151.2616182404274,1228.6430114674797,1173.4851710674855
0.49,1158.648831723549,1152.5451394975394,1230.558371806558,1174.821019379628
0.5,1159.882878815988,1153.8036341892355,1232.4400650746509,1176.1286791050254
0.51,1161.0924961179262,1155.0380727626973,1234.2893292697736,1177.4109748906542
0.52,1162.2786322271568,1156.2493699994147,1236.1073339173674,1178.569371137622
0.53,1163.44218153978,1157.4383892045298,1237.8951850809913,1179.8045280558063
0.54,1164.5839883027363,1158.6059460088827,1239.6539299202902,1181.0148991077333
0.55,1165.7048502941034,1159.7528118253701,1241.3845608439553,1182.203976172396
0.56,1166.8055221723043,1160.8797169975383,1243.0880193012094,1183.3700007853042
0.57,1167.8867185286945,1161.9873536721332,1244.7651992483939,1184.5163231776849
0.58,1168.9491166746593,1163.0763784243295,1246.4169503238068,1185.6420798159816
0.59,1169.9933591905865,1164.147414660923,1248.0440807600378,1186.6610668188948
0.6,1171.0200562606333,1165.201054823586,1249.6473600594306,1187.7494137300982
0.61,1172.029787814594,1166.237862411908,1251.227521455594,1188.8193958409531
0.62,1173.0231054953765,1167.25837384334,1252.7852641809154,1189.872001804115
0.63,1174.000534469611,1168.2631001663426,1254.3212555590437,1190.908177328011
0.64,1174.962575094949,1169.2525286392354,1255.8361329370553,1191.926744205207
0.65,1175.9097044588416,1170.227124188577,1257.3305054733873,1192.9295995165771
0.66,1176.8423777994467,1171.1873307569094,1258.8049557931733,1193.8388157455806
0.67,1177.7610298196669,1172.1335725501208,1260.2600415230265,1194.8116951270806
0.68,1178.6660759043298,1173.066255193786,1261.6962967162328,1195.7711799041424
0.69,1179.5579132476705,1173.985766805078,1263.1142331762844,1196.7159099257992
0.7,1180.4369219007203,1174.892478989318,1264.5143416892772,1197.646571271307
0.71,1181.3034657435492,1175.7867477656778,1265.8970931707279,1198.563820417025
0.72,1182.1578933901037,1176.6689144293466,1267.2629397353264,1199.3956278993512
0.73,1183.0005390302397,1177.5393063544095,1268.6123156947915,1200.2878144463264
0.74,1183.8317232148838,1178.3982377430398,1269.945638490398,1201.1683780196076
0.75,1184.651753588114,1179.2460103245025,1271.2633095644574,1202.0357948465673
0.76,1185.4609255707471,1180.0829140083,1272.5657151758642,1202.8926825910896
0.77,1186.259522999928,1180.909227495705,1273.8532271647246,1203.737474720237
0.78,1187.0478187264523,1181.7252188512177,1275.126203668099,1204.5717043600105
0.79,1187.8260751747875,1182.5311460387127,1276.3849897923765,1205.3281469781828
0.8,1188.594544867694,1183.3272574239957,1277.629918244463,1206.1413709564179
0.81,1189.3534709179075,1184.1137922460948,1278.8613099245986,1206.9443495037146
0.82,1190.10308749025,1184.890981060495,1280.079474484561,1207.7375096739522
0.83,1190.8436202353914,1185.6590461554201,1281.2847108527067,1208.5212616728884
0.84,1191.5752866974217,1186.4182019432067,1282.4773077283078,1209.2949593529322
0.85,1192.2982966979034,1187.1686553293264,1283.6575440481706,1209.99669829857
0.86,1193.012852696993,1187.910606059559,1284.8256894262986,1210.7531467360423
0.87,1193.719150133722,1188.6442470473185,1285.9820045689455,1211.4995913449045
0.88,1194.4173777471296,1189.3697646827375,1287.1267416669973,1212.2384596514087
0.89,1195.107717878942,1190.0873391241469,1288.2601447665259,1212.9679985541623
0.9,1195.7903467596043,1190.7971445736775,1289.3824501195504,1213.689574696737
0.91,1196.4654347780745,1191.499349537342,1290.493886515536,1214.3439925713592
0.92,1197.1331467374694,1192.194117071627,1291.5946755959728,1215.0501215617408
0.93,1197.7936420965707,1192.8816050165597,1292.685032152115,1215.7481364939083
0.94,1198.4470751981137,1193.5619662161187,1293.765164406951,1216.4393605975204
0.95,1199.0935954859597,1194.2353487280495,1294.8352742837476,1217.1219831180354
0.96,1199.7333477094653,1194.9018960213675,1295.8955576594033,1217.79835319637
0.97,1200.366472118767,1195.5617471652179,1296.946204606704,1218.4115472613396
0.98,1200.9931046488928,1196.2150370069826,1297.9873996232632,1219.0735790381814
0.99,1201.6133770952583,1196.8618963421586,1299.0193218499949,1219.7290545090616
1.0,1202.2274172798498,1197.5024520752781,1300.0421452783846,1220.3782058889
1.01,1202.8353492096649,1198.1368273734245,1301.0560389483421,1221.0202174845294
1.02,1203.4372932264814,1198.765141811382,1302.0611671356467,1221.6553118393454
1.03,1204.0333661506302,1199.3875115110818,1303.0576895319482,1222.2326410153562
1.04,1204.6236814165022,1200.0040492730498,1304.045761414899,1222.8560535194495
1.05,1205.2083492024103,1200.6148647024575,1305.0255338112947,1223.473163771797
1.06,1205.7874765538145,1201.2200643287717,1305.9971536521907,1224.0852129210662
1.07,1206.3611675012507,1201.8197517203253,1306.9607639214846,1224.6903018906487
1.08,1206.929523172439,1202.4140275932698,1307.9165037974276,1225.2907093247616
1.09,1207.4926418990362,1203.0029899153621,1308.8645087876005,1225.8350960628106
1.1,1208.0506193191395,1203.5867340056793,1309.8049108585901,1226.4239665265682
1.11,1208.6035484744352,1204.1653526291461,1310.7378385591924,1227.0076288578653
1.12,1209.1515199037383,1204.738936087603,1311.6634171390635,1227.5862509081646
1.13,1209.694621731469,1205.3075723059628,1312.581768661272,1228.1589513197298
1.14,1210.2329397532158,1205.8713469155848,1313.4930121111054,1228.7269315448502
1.15,1210.7665575167048,1206.4303433331831,1314.3972634993372,1229.242281239229
1.16,1211.295556400146,1206.9846428372314,1315.2946359621067,1229.80062049089
1.17,1211.8200156858657,1207.5343246397665,1316.1852398551778,1230.3536374955493
1.18,1212.3400126327178,1208.0794659570738,1317.0691828463748,1230.9025232765032
1.19,1212.8556225433713,1208.6201420753473,1317.9465700019891,1231.4463699099601
1.2,1213.3669188306085,1209.156426415451,1318.8175038716586,1231.9853134325745
1.21,1213.8739730794332,1209.6883905935836,1319.6820845682653,1232.474644527535
1.22,1214.3768551077228,1210.2161044805573,1320.5404098458348,1233.0045240011025
1.23,1214.8756330235046,1210.7396362577886,1321.392575173372,1233.5309272655882
1.24,1215.3703732806025,1211.259052471722,1322.2386738065416,1234.0518871237143
1.25,1215.8611407317803,1211.774418085825,1323.0787968562668,1234.5696139114282
1.26,1216.3479986796156,1212.2857965303713,1323.9130333545008,1235.0821340016334
1.27,1216.8310089256263,1212.7932497505406,1324.7414703177683,1235.5487907037536
1.28,1217.310231817246,1213.2968382524239,1325.5641928080388,1236.053646880731
1.29,1217.785726293223,1213.7966211475002,1326.3812839915754,1236.554670938404
1.3,1218.257549927221,1214.2926561953714,1327.1928251955271,1237.0519727395815
1.31,1218.7257589692017,1214.7849998443226,1327.998895961819,1237.5446081531345
1.32,1219.1904083861737,1215.273707271293,1328.799574100077,1238.0337254756735
1.33,1219.6515519006643,1215.758832419614,1329.5949357378086,1238.478371370588
1.34,1220.1092420282655,1216.2404280358571,1330.3850553693144,1238.9610422231906
1.35,1220.5635301130824,1216.7185457046264,1331.1700059020777,1239.4394357719718
1.36,1221.0144663627143,1217.1932358829154,1331.9498587024002,1239.9146936525947
1.37,1221.4620998812609,1217.6645479325225,1332.7246836386598,1240.385860230966
1.38,1221.9064787017996,1218.1325301519714,1333.4945491237793,1240.8133572204745
1.39,1222.347649816889,1218.5972298064848,1334.2595221553197,1241.2779240599282
1.4,1222.7856592087774,1219.0586931576913,1335.0196683550598,1241.7397053085517
1.41,1223.22055187769,1219.5169654914407,1335.7750520062805,1242.196689287989
1.42,1223.6523718701792,1219.972091145702,1336.5257360909243,1242.651051937701
1.43,1224.0811623054324,1220.4241135364487,1337.2717823243524,1243.1028740615582
1.44,1224.506965401466,1220.8730751834476,1338.0132511897982,1243.5130681710393
1.45,1224.9298224995146,1221.3190177342672,1338.7502019706808,1243.9571529317936
1.46,1225.3497740889434,1221.7619819888284,1339.4826927833262,1244.3999714799654
1.47,1225.7668598297169,1222.2020079215313,1340.2107806068682,1244.8384556466035
1.48,1226.1811185754486,1222.639134703978,1340.934521313624,1245.273726534612
1.49,1226.5925883948803,1223.0734007261458,1341.6539696976126,1245.7069014700253
1.5,1227.001306592836,1223.5048436170512,1342.3691795023599,1246.1003122184866
1.51,1227.4073097305372,1223.9335002647872,1343.0802034478615,1246.5276406686862
1.52,1227.8106336454512,1224.3594068361087,1343.7870932569106,1246.9509790532804
1.53,1228.2113134701503,1224.782598795049,1344.489899680215,1247.372489736533
1.54,1228.609383650415,1225.2031109207837,1345.1886725205625,1247.7911895538398
1.55,1229.0048779633944,1225.6209773255694,1345.8834606569294,1248.1715540417952
1.56,1229.3978295346024,1226.0362314715333,1346.5743120672098,1248.5850347130586
1.57,1229.7882708548568,1226.4489061874056,1347.2612738507542,1248.9948395065614
1.58,1230.176233795646,1226.8590336837074,1347.944392249098,1249.4031214785193
1.59,1230.5617496257764,1227.266645569209,1348.6237126679746,1249.8078450408275
1.6,1230.9448490258071,1227.6717728652027,1349.2992796968147,1250.2111642445818
1.61,1231.3255621027783,1228.0744460200685,1349.9711371284627,1250.5766937904025
1.62,1231.7039184047026,1228.4746949236132,1350.6393279785464,1250.9744277407435
1.63,1232.0799469340127,1228.8725489203762,1351.3038945036062,1251.3688229309905
1.64,1232.4536761610652,1229.2680368229958,1351.9648782192041,1251.762029261978
1.65,1232.8251340370623,1229.6611869250048,1352.6223199173032,1252.1520034169262
1.66,1233.1943480066257,1230.052027013281,1353.2762596831876,1252.5064666939286
1.67,1233.5613450199598,1230.4405843800978,1353.926736911853,1252.8924150920445
1.68,1233.9261515444375,1230.8268858345998,1354.5737903236827,1253.2752780092499
1.69,1234.2887935764738,1231.2109577145748,1355.2174579803682,1253.6561558394792
1.7,1234.6492966522346,1231.5928258970669,1355.8577772994756,1254.0350950551028
1.71,1235.0076858588145,1231.9725158094616,1356.4947850694625,1254.4110922875375
1.72,1235.3639858443055,1232.3500524394683,1357.128517463402,1254.7529613200184
1.73,1235.7182208282757,1232.72546034552,1357.7590100530963,1255.1254916403261
1.74,1236.070414611546,1233.0987636664713,1358.3862978223542,1255.495215384668
1.75,1236.4205905857962,1233.4699861311344,1359.0104151800167,1255.8621768386529
1.76,1236.7687717428198,1233.8391510674635,1359.63139597254,1256.2285156048779
1.77,1237.1149806838366,1234.2062814118042,1360.2492734965813,1256.5911290192842
1.78,1237.459239627875,1234.5713997172188,1360.864080510507,1256.9219416014582
1.79,1237.8015704207355,1234.9345281623903,1361.4758492464853,1257.2805417940895
1.8,1238.1419945431408,1235.2956885597196,1362.084611421628,1257.637633349459
1.81,1238.4805331186508,1235.654902363192,1362.6903982488266,1257.9932583203222
1.82,1238.817206921929,1236.012190676596,1363.2932404479209,1258.3464068301753
1.83,1239.1520363860764,1236.3675742608161,1363.8931682557952,1258.6676997648267
1.84,1239.485041610198,1236.721073541354,1364.4902114366844,1259.017214154288
1.85,1239.816242366447,1237.072708615339,1365.0843992918544,1259.3643635867295
1.86,1240.1456581075909,1237.422499259057,1365.6757606698177,1259.710231731197
1.87,1240.4733079731232,1237.7704649340276,1366.2643239749018,1260.0538080294677
1.88,1240.7992107967148,1238.1166247944275,1366.8501171772518,1260.3654188268606
1.89,1241.123385111976,1238.4609976928214,1367.4331678209294,1260.705713093296
1.9,1241.4458491592668,1238.8036021869484,1368.0135030331298,1261.0438171287494
1.91,1241.7666208919254,1239.1444565459224,1368.5911495327182,1261.3797645515701
1.92,1242.0857179817394,1239.483578755684,1369.166133637891,1261.7146383815548
1.93,1242.403157825407,1239.8209865254398,1369.738481274898,1262.0474210017705
1.94,1242.7189575496595,1240.1566972927656,1370.3082179852452,1262.3493010002735
1.95,1243.0331340173143,1240.4907282296406,1370.8753689338964,1262.6791906351389
1.96,1243.3457038322813,1240.8230962474413,1371.4399589162863,1263.0070825500534
1.97,1243.6566833450925,1241.1538180024527,1372.0020123658696,1263.333008757648
1.98,1243.966088658024,1241.4829099009796,1372.5615533612004,1263.656998965559
1.99,1244.2739356298698,1241.810388104109,1373.1186056325882,1263.951966906375
2.0,1244.5802398809465,1242.1362685327015,1373.6731925689837,1264.272309623357
