Strain,Tmp77.15K,Tmp233.15K,Tmp298.15K,Tmp373.15K,Tmp473.15K,Tmp573.15K,Tmp673.15K,Tmp77.15K_ref,Tmp233.15K_ref,Tmp298.15K_ref,Tmp373.15K_ref,Tmp473.15K_ref,Tmp573.15K_ref,Tmp673.15K_ref
0.03,1420.3486903544376,1054.4076935338926,1006.586555,990.5581359273492,1037.8474435552023,1040.6575654920368,905.3897634195746,1.4110547009585654,1.0475082230100845,1.0,0.9840764621849626,1.031056334301229,1.0338480683283484,0.8994653851894283
0.031,1423.4858320537169,1057.1035258720203,1008.781604,992.8873377653216,1040.4530923968405,1043.8267666055176,907.3966152,1.4110941619170494,1.0479012718713498,1.0,0.9842440958760005,1.0313957830627138,1.0347400889018568,0.8994975836216775
0.032,1426.5531371576708,1059.6763548054607,1010.894023,995.1294201542188,1042.9710522023054,1046.8912286406514,909.3361742929555,1.4111797129081165,1.048256623044116,1.0,0.984405286323687,1.0317313471763454,1.035609277354142,0.8995366018629191
0.033,1429.554430122918,1062.133363801128,1012.929324,997.2906478,1045.406800762467,1049.8574771281951,911.213056,1.4113071822994414,1.048575985150498,1.0,0.984560940403775,1.0320629248190933,1.036456791459416,0.8995820679785158
0.034,1432.4931873112362,1064.4812941131072,1014.892498,999.376683,1047.7653249583195,1052.7314518175774,913.0314036954078,1.411472830998536,1.0488611318054173,1.0,0.9847118635416299,1.0323904522135108,1.0372837062961298,0.899633611929022
0.035,1435.3725830385983,1066.7264695459678,1016.788081,1001.3926538837476,1050.0511773349708,1055.518574302882,914.7949498550151,1.4116732973767012,1.0491138610681332,1.0,0.9848587651606703,1.032713892851947,1.0380910182039023,0.899690866709732
0.036,1438.195527670381,1068.8748197555406,1018.620206,1003.343214,1052.2685247853758,1058.223806235957,916.5070682896184,1.411905555376722,1.049335967870581,1.0,0.9850022688436635,1.0330332331787415,1.0388796530862818,0.8997534732681499
0.037,1440.9646993890367,1070.9319024389536,1020.392648,1005.2325943912656,1054.4211906252217,1060.851699639292,918.1708184654708,1.4121668773421392,1.0495292224400206,1.0,0.9851429215621569,1.033348478835004,1.0396504734903695,0.8998210838397483
0.038,1443.6825708937597,1072.9029246064636,1022.108867,1007.0646489516804,1056.512691104405,1063.4064405596775,919.7889834883972,1.4124547956727194,1.049695349728791,1.0,0.9852811979877681,1.033659647435976,1.0404042806916354,0.899893360858983
0.039,1446.3514320123732,1074.7927630290203,1023.772036,1008.8428945763516,1058.546267212889,1065.8918870851278,921.3641027,1.4127670820776093,1.0498360232892905,1.0,0.9854175139594764,1.033966771888746,1.0411418261136485,0.8999699838451145
0.04,1448.9734089923177,1076.6059838973194,1025.385075,1010.5705462805126,1060.5249124885672,1068.311602571012,922.8984996160144,1.413101715950291,1.0499528520027654,1.0,0.9855522290301648,1.0342698936675738,1.0418638115744097,0.9000506464520311
0.041,1451.5504810739776,1078.346861696388,1026.950678,1012.2505482616688,1062.4513974138608,1070.668884778249,924.3943063,1.4134568603634319,1.0500473730602942,1.0,0.9856856516547028,1.0345690598140498,1.0425708923659225,0.9001350562426914
0.042,1454.084494823673,1080.019397285047,1028.471332,1013.8856013429032,1064.3282908899073,1072.9667915099265,925.8534842106748,1.413830847376184,1.0501210521685664,1.0,0.9858180483954444,1.0348643251146132,1.0432636847770944,0.900222938066955
0.043,1456.577176606301,1081.6273351653565,1029.94934,1015.478187,1066.1579791975105,1075.2081632375057,927.2778423148555,1.41422215640849,1.0501752786844416,1.0,0.985949645834037,1.0351557477550406,1.043942766386457,0.9003140312851268
0.044,1459.0301435020413,1083.1741799291665,1031.386837,1017.0305903121262,1067.9426827888265,1077.3956431296856,928.6690530887572,1.4146294010750897,1.0502113669394895,1.0,0.986080638056588,1.035443389887694,1.0446086807385593,0.9004080910999228
