Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
1.67,1187.0846059315547,1171.7260419069592,1204.1955485076178,1285.6723786131734,1190.1865901482524,0.996166017,0.983277568,1.01052501,1.078897937,0.998769109
1.68,1187.192503339466,1172.118346,1204.5145427521202,1286.010935752705,1190.5840394254774,0.996109451,0.983461535,1.010643444,1.079022689,0.998955107
1.69,1187.2995427431547,1172.5087607455157,1204.831644248101,1286.347346350818,1190.9791302273516,0.996053237,0.983644905,1.010761325,1.079146746,0.999140128
1.7,1187.405735977188,1172.897306737675,1205.146875,1286.6816365969871,1191.3718903807458,0.99599737,0.983827682,1.010878659,1.079270115,0.999324185
1.71,1187.511094644579,1173.284003704327,1205.4602579254424,1287.0138322094713,1191.7623472231207,0.995941847,0.98400987,1.010995452,1.079392806,0.999507287
1.72,1187.6156301226397,1173.668871180908,1205.771813598869,1287.3439584464882,1192.1505276137032,0.995886664,0.984191473,1.011111709,1.079514826,0.999689447
1.73,1187.7193535686497,1174.0519283843416,1206.0815635264153,1287.672040117062,1192.5364579444283,0.995831817,0.984372496,1.011227434,1.079636181,0.999870671
1.74,1187.822275925355,1174.433194220038,1206.3895285212202,1287.998101591554,1192.9201641511172,0.995777301,0.984552942,1.011342633,1.079756879,1.000050972
1.75,1187.924407926295,1174.812687288702,1206.6957290387363,1288.3221668118886,1193.3016717237188,0.995723114,0.984732816,1.011457312,1.079876927,1.000230358
1.76,1188.0257601009712,1175.190425892952,1207.0001851847628,1288.6442593014813,1193.6810057164405,0.995669251,0.984912121,1.011571475,1.079996333,1.000408841
1.77,1188.1263427798542,1175.566428043762,1207.3029167233617,1288.9644021748843,1194.0581907574087,0.995615708,0.985090861,1.011685126,1.080115102,1.000586426
1.78,1188.2261660992474,1175.940711466723,1207.6039430846577,1289.282618147156,1194.433251059032,0.995562483,0.985269041,1.011798271,1.080233243,1.000763127
1.79,1188.3252400059996,1176.3132936081436,1207.903283372114,1289.5989295429636,1194.8062104263809,0.995509571,0.985446663,1.011910914,1.080350761,1.00093895
1.8,1188.423574262081,1176.6841916409778,1208.2009563700412,1289.913358,1195.1770922667347,0.99545697,0.985623733,1.012023061,1.080467664,1.001113907
1.81,1188.5211784490225,1177.053422470604,1208.4969805505823,1290.2259260047308,1195.5459195986623,0.995404675,0.985800253,1.012134714,1.080583957,1.001288003
1.82,1188.6180619722236,1177.4210027404426,1208.7913740804652,1290.5366538464546,1195.912715059705,0.995352683,0.985976229,1.012245881,1.080699648,1.00146125
1.83,1188.7142340651385,1177.7869488374322,1209.0841548279277,1290.845562679726,1196.2775009158067,0.995300991,0.986151661,1.012356564,1.080814741,1.001633654
1.84,1188.8097037933348,1178.1512768973566,1209.3753403690062,1291.152673005109,1196.6402990686474,0.995249595,0.986326556,1.012466767,1.080929244,1.001805225
1.85,1188.90448,1178.514002810036,1209.6649479941116,1291.4580049822898,1197.001131064142,0.995198493,0.986500917,1.012576497,1.081043164,1.001975972
1.86,1188.9985716019712,1178.8751422243838,1209.9529947138508,1291.761578437554,1197.3600180991923,0.995147681,0.986674746,1.012685755,1.081156504,1.002145901
