PEEQ,C1,C2,C3,C4,C5,C6,C7,C8,C9,R²
1.69,2.4396158323779416,0.007119641189759233,0.4201573716865358,0.20838400985881583,339.07262903846066,85.54453628201732,0.7082140409384214,563.3025436218618,199.99651880101973,0.9999999502014636
1.7,2.5835103866992175,0.007081035605219358,0.3334434460306026,0.2693436176209679,339.605043449786,107.66113414793618,0.7878489505870041,571.6089614176445,199.99982698828518,0.9999999999999968
1.71,2.498861985235158,0.007115794632728094,0.3881013212020561,0.22960499502101173,339.47020866044085,95.18741112263238,0.7384420268407345,566.4754613247426,199.984717227621,0.9999997635344965
1.72,2.5713705588022555,0.007110143109879196,0.34667146757564843,0.26028768829134924,339.5436784363203,105.06459633568386,0.7766720030261153,570.3785173889424,199.98193752752127,0.9999999518876646
1.73,2.5172971676727838,0.006249040677841401,0.27954404972780095,0.26041950787985124,346.63100142732515,98.31357625244634,0.8225269536498235,575.4337670093779,199.9452934973729,0.9997559649475015
1.74,2.5721175797630624,0.007196073632437199,0.35896003033503404,0.2598188760618116,339.73839386461196,104.64629757483904,0.7670041479434044,569.9303993637847,198.74902441001922,1.0
1.75,2.4910302777933655,0.007183676632072305,0.40567426137242074,0.2208437827474589,339.3006989189584,90.90688329855685,0.7240772777928076,564.8239719639884,199.76177593444416,0.9999999999999971
1.76,2.531107177830157,0.007284373651345793,0.3950766120822362,0.23929307521707438,339.5047575601685,97.84969231948632,0.7358320374103869,566.8086809742508,197.93427353967257,0.999999505455739
1.77,2.6829454999625937,0.0070460630174243805,0.2801181147540254,0.3087859659111219,340.3787879799689,115.93842520672827,0.8371040393470978,576.1956583987555,199.9991687751876,0.9999999914749068
1.78,2.6853727524542697,0.00742444353900292,0.3250636637099796,0.2937607728547518,337.10435498346925,113.90573483859009,0.8021952990365764,572.5412278858621,199.96461919993527,0.9999830493131456
1.79,2.6455831280955295,0.0075071400957479216,0.35917609267449213,0.2990627219539583,341.4646335484976,114.20203894324455,0.7703337946812844,573.542541030732,192.59087064351743,1.0
1.8,2.815542594501951,0.008007889411655566,0.31905043037245323,0.4162493368626429,349.1689349407104,137.18652724732317,0.7982948866056145,586.6321645559293,179.23009007792407,0.9999999999999998
