Strain,Stress,Strain Rate,Temperature,Normalized Stress
0.02476,966.1663208,0.01,473,1.6649938957286645
0.02485,966.4532471,0.01,473,1.665488355665571
0.02495,966.7570801,0.01,473,1.6660119509094025
0.02506,967.0332031,0.01,473,1.6664877935252884
0.02515,967.3309326,0.01,473,1.6670008706108856
0.02522,967.59021,0.01,473,1.6674476832134433
0.02532,967.8408203,0.01,473,1.66787955980728
0.02543,968.1436157,0.01,473,1.6684013669555953
0.02554,968.4255981,0.01,473,1.6688873070723176
0.02562,968.6820068,0.01,473,1.6693291760457238
0.0257,968.9251709,0.01,473,1.6697482206071461
0.0258,969.1703491,0.01,473,1.6701707360660036
0.02591,969.4578247,0.01,473,1.6706661426113019
0.026,969.7411499,0.01,473,1.6711543967745348
0.02609,969.9634399,0.01,473,1.6715374690107676
0.02618,970.22052,0.01,473,1.671980495007429
0.02629,970.5176392,0.01,473,1.672492520363368
0.0264,970.7890625,0.01,473,1.6729602639887973
0.02649,971.0369873,0.01,473,1.6733875126619426
0.02656,971.2800293,0.01,473,1.6738063468085012
0.02665,971.5307617,0.01,473,1.6742384338172014
0.02674,971.8065186,0.01,473,1.6747136455331562
0.02685,972.0882568,0.01,473,1.6751991648201512
0.02697,972.3630371,0.01,473,1.6756726935618567
0.02706,972.6335449,0.01,473,1.676138859506633
0.02714,972.8555298,0.01,473,1.6765214059642015
0.02721,973.0831299,0.01,473,1.6769136290928794
0.0273,973.3306274,0.01,473,1.6773401414001672
0.02741,973.5744629,0.01,473,1.6777603429848442
0.0275,973.8213501,0.01,473,1.6781858035624737
0.02759,974.071228,0.01,473,1.6786164180117882
0.02768,974.2987671,0.01,473,1.6790085360191989
0.02777,974.5346069,0.01,473,1.6794149586184102
0.02787,974.7904053,0.01,473,1.6798557758621582
0.02799,975.0426025,0.01,473,1.6802903871599026
0.02809,975.3154907,0.01,473,1.680760655246706
0.02818,975.5723877,0.01,473,1.681203365707237
0.02827,975.8036499,0.01,473,1.681601899730855
0.02837,976.0854492,0.01,473,1.682087524311447
0.02848,976.3500366,0.01,473,1.68254348763412
0.02857,976.5872192,0.01,473,1.6829522242798418
0.02865,976.8275146,0.01,473,1.6833663252121123
0.02875,977.0579834,0.01,473,1.6837634919699416
0.02884,977.2911987,0.01,473,1.6841653917697286
0.02893,977.5455933,0.01,473,1.6846037898456991
0.02902,977.763916,0.01,473,1.6849800252359972
0.02912,977.9863892,0.01,473,1.6853634131806903
