Strain,Stress,delT,Rate,I_Temp,Temp
0.0194,991.3705094,0.0,0.001,298,298
0.0196,992.0388791,0.0,0.001,298,298
0.0198,992.762824,0.0,0.001,298,298
0.02,993.5517951,0.0,0.001,298,298
0.0202,994.3848325,0.0,0.001,298,298
0.0204,995.105216,0.0,0.001,298,298
0.0206,995.8245213,0.0,0.001,298,298
0.0208,996.4952037,0.0,0.001,298,298
0.021,997.1711502,0.0,0.001,298,298
0.0212,997.9153936,0.0,0.001,298,298
0.0214,998.7320985,0.0,0.001,298,298
0.0216,999.4217579,0.0,0.001,298,298
0.0218,1000.0947229,0.0,0.001,298,298
0.022,1000.6718843,0.0,0.001,298,298
0.0222,1001.3652881,0.0,0.001,298,298
0.0224,1002.0990551,0.0,0.001,298,298
0.0226,1002.6571914,0.0,0.001,298,298
0.0228,1003.3350346,0.0,0.001,298,298
0.023,1003.8850285,0.0,0.001,298,298
0.0232,1004.5497061,0.0,0.001,298,298
0.0234,1005.1420371,0.0,0.001,298,298
0.0236,1005.8388242,0.0,0.001,298,298
0.0238,1006.3999402,0.0,0.001,298,298
0.024,1007.0274404,0.0,0.001,298,298
0.0242,1007.5842828,0.0,0.001,298,298
0.0244,1008.1221432,0.0,0.001,298,298
0.0246,1008.6536462,0.0,0.001,298,298
0.0248,1009.3446633,0.0,0.001,298,298
0.025,1009.9295565,0.0,0.001,298,298
0.0252,1010.4098627,0.0,0.001,298,298
0.0254,1011.0608269,0.0,0.001,298,298
0.0256,1011.5299722,0.0,0.001,298,298
0.0258,1012.1116581,0.0,0.001,298,298
0.026,1012.6117318,0.0,0.001,298,298
0.0262,1013.2506781,0.0,0.001,298,298
0.0264,1013.7705269,0.0,0.001,298,298
0.0266,1014.296289,0.0,0.001,298,298
0.0268,1014.7216828,0.0,0.001,298,298
0.027,1015.3344813,0.0,0.001,298,298
0.0272,1015.7975731,0.0,0.001,298,298
0.0274,1016.2933587,0.0,0.001,298,298
0.0276,1016.7597225,0.0,0.001,298,298
0.0278,1017.2939671,0.0,0.001,298,298
0.028,1017.7431537,0.0,0.001,298,298
0.0282,1018.2400075,0.0,0.001,298,298
0.0284,1018.7385575,0.0,0.001,298,298
0.0286,1019.2325213,0.0,0.001,298,298
0.0288,1019.6548941,0.0,0.001,298,298
0.029,1020.1583643,0.0,0.001,298,298
0.0292,1020.5691939,0.0,0.001,298,298
0.0294,1020.9495648,0.0,0.001,298,298
0.0296,1021.4855357,0.0,0.001,298,298
0.0298,1021.9452298,0.0,0.001,298,298
