strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1
0.31,1253.9852915012898,1249.1650373658467,1184.4346093266308,1172.2301009122004,1.1076583031992442,1.1034005223840786,1.0462234593250381,1.035443089592372
0.32,1256.702705337018,1251.9849081465163,1186.4528734822616,1174.4122239540595,1.1087589813880503,1.104596580857582,1.046779221434344,1.0361560420225042
0.33,1259.331788315203,1254.7167364283396,1188.4048718171289,1176.5295713181952,1.1098273344683607,1.1057601690227212,1.047320669100667,1.0368551720640404
0.34,1261.877957325716,1257.36581492432,1190.2946906950133,1178.5859425132753,1.1108652211485521,1.1068930604197895,1.0478485396583899,1.0375410126406073
0.35,1264.3461499667376,1259.936974086806,1192.1260534727978,1180.5848104713125,1.1118743435694491,1.1079968852188937,1.0483635143682577,1.0382140691498025
0.36,1266.7408792382903,1262.434634358472,1193.9023620559256,1182.529358030728,1.1128562644592923,1.109073145378393,1.048866223979141,1.0388748208574763
0.37,1269.066280669119,1264.862851247978,1195.626732689409,1184.4225094553112,1.1138124219971544,1.1101232278427036,1.0493572536173525,1.0395237222982576
0.38,1271.3261530973498,1267.2253543806785,1197.3020269163285,1186.2669577789711,1.1147441427430846,1.1111484160770042,1.0498371470984746,1.0401612046539144
0.39,1273.5239941019795,1269.5255814652228,1198.9308784648051,1188.0651886232215,1.1156526529295228,1.1121499001848836,1.0503064107414637,1.0407876770907325
0.4,1275.6630309043333,1271.7667079498842,1200.515716688374,1189.8195010202191,1.1165390883573898,1.1131287858134473,1.0507655167522676,1.04140352804391
0.41,1277.7462474160905,1273.951673008467,1202.0587870757192,1191.532025682519,1.1174045030990654,1.114086102016693,1.0512149062338894,1.0420091264418543
0.42,1279.776407995579,1276.0832023875482,1203.562169257917,1193.2047410866344,1.1182498771770526,1.115022808220501,1.0516549918712537,1.042604822866695
0.43,1281.7560783808628,1278.163828559046,1205.0277928701917,1194.8394876773243,1.1190761233598527,1.11593980041,1.0520861603321012,1.043190950649738
0.44,1283.6876441922684,1280.1959085505605,1206.4574515672275,1196.4379804503533,1.1198840931942922,1.116837916641546,1.0525087744191897,1.0437678269022665
0.45,1285.5733273347564,1282.181639767251,1207.8528154436158,1198.0018201311427,1.1206745823751016,1.1177179419661556,1.052923175004075,1.0443357534832254
0.46,1287.4152005794065,1284.1230740706196,1209.2154420719628,1199.5325031334178,1.1214483355373799,1.1185806128384432,1.0533296827685377,1.0448950179060643
0.47,1289.2152005609128,1286.0221303396129,1210.5467863389154,1201.0314304543874,1.122206050544894,1.1194266210744703,1.0537285997761725,1.0454458941874862
0.48,1290.9751393928564,1287.8806057061056,1211.8482092325432,1202.499915640026,1.1229483823366477,1.1202566174129194,1.054120210893643,1.0459886436411068
0.49,1292.6967150731766,1289.7001856291472,1213.1209857121842,1203.9391919348488,1.1236759463852737,1.1210712147265407,1.0545047850785398,1.0465235156191541
0.5,1294.381520827727,1291.482452948976,1214.3663117731455,1205.3504187144645,1.124389321813406,1.121870990924384,1.054882576548605,1.0470507482053588
0.51,1296.031053519138,1293.2288960423002,1215.5853108029369,1206.7346872856383,1.1250890542078702,1.1226564915799946,1.0552538258452007,1.04757056886213
0.52,1297.6467212308128,1294.9409161837502,1216.7790393124503,1208.0930261271335,1.1257756581662413,1.1234282323161322,1.055618760802317,1.048083195035029
0.53,1299.2298501211203,1296.6198342044372,1217.9484921142844,1209.4264056348743,1.1264496196057736,1.1241867009726783,1.055977597431017,1.048588834717411
0.54,1300.7816906303296,1298.2668965265875,1219.0946070108666,1210.7357424267095,1.127111397860863,1.124932359581021,1.0563305407280301,1.0490876869779795
0.55,1302.3034231121478,1299.883280643112,1220.2182690469283,1212.0219032549785,1.1277614275918832,1.1256656461653605,1.0566777854161844,1.049579942453824
0.56,1303.7961629526071,1301.4701001022213,1221.3203143739208,1213.2857085690373,1.1284001205254344,1.1263869763888685,1.0570195166234653,1.050065783811372
0.57,1305.260965231194,1303.0284090497807,1222.401533768024,1214.5279357647066,1.129027867043566,1.1270967450605307,1.0573559105067096,1.0505453861775236
0.58,1306.6988289724056,1304.559206375634,1223.4626758382865,1215.7493221531213,1.1296450376374636,1.1277953275166084,1.0576871348252808,1.0510189175430766
0.59,1308.1107010301018,1306.0634395046127,1224.5044499570106,1216.9505676775952,1.1302519842392538,1.1284830808890873,1.0580133494694646,1.0514865391404185
0.6,1309.4974796419929,1307.5420078681318,1225.5275289406964,1218.132337403766,1.1308490414439947,1.129160345272051,1.0583347069478173,1.0519484057973036
0.61,1310.8600176872696,1308.995766088121,1226.5325515065451,1219.295263805376,1.1314365276325689,1.1298274447957182,1.058651352837243,1.052404666268424
0.62,1312.1991256765798,1310.4255269014102,1227.5201245266533,1220.4399488655097,1.1320147460049623,1.1304846886167947,1.0589634261991645,1.0528554635463259
0.63,1313.5155745002708,1311.8320638495488,1228.490825099529,1221.5669660109054,1.1325839855324022,1.1311323718328796,1.0592710599648296,1.053300935153145
0.64,1314.8100979579408,1313.216113756259,1229.4452024563743,1222.676861895021,1.1331445218358815,1.1317707763278162,1.0595743812924472,1.0537412134144937
0.65,1316.0833950898125,1314.5783790123278,1230.3837797176743,1223.7701580438377,1.1336966179978067,1.132400171554183,1.0598735118986105,1.0541764257167474
