strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,StrRt1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1,ref_StrRt1
0.045,1032.7857318962426,1046.7000799716816,1059.8514983808975,1064.0337251894916,1063.7477615078462,1.7797990906773336,1.8037776791562479,1.8264415113558499,1.8336487405429491,1.83315593948573
0.046,1034.14801048337,1047.8782558619075,1061.154192108571,1065.2835462449548,1064.6190440694836,1.7821467046264214,1.805808029027786,1.8286864427490124,1.8358025564888167,1.8346574202508428
0.047,1035.4753258251312,1049.0189908931625,1062.4207221755237,1066.50265614706,1065.4722786903117,1.7844340664337648,1.8077738570874007,1.8308690533253023,1.8379034479207874,1.8361277990093643
0.048,1036.769282881924,1050.1243153998298,1063.65280479978,1067.6924379278737,1066.308211509019,1.7866639419267454,1.8096786622092318,1.8329923006423081,1.8399537982172705,1.8375683615816907
0.049,1038.0313817772324,1051.1961196399996,1064.8520422906695,1068.8541851993937,1067.1275430600947,1.7888389162673477,1.8115257018740185,1.8350589459588276,1.841955836659118,1.8389803151985271
0.05,1039.263026600093,1052.236165016056,1066.0199326799293,1069.989109619024,1067.930931926739,1.7909614091214465,1.813318011505533,1.8370715708321388,1.843911651294877,1.8403647947959443
0.051,1040.4655333107837,1053.2460942681996,1067.1578783700843,1071.098347596722,1068.7189980345834,1.793033688282673,1.8150584220370702,1.8390325920217514,1.845823200499209,1.841722868691446
0.052,1041.640136856542,1054.2274407494235,1068.2671939169177,1072.1829663340352,1069.4923256278378,1.7950578819349312,1.8167495758950103,1.8409442749009322,1.847692323379961,1.8430555437127623
0.053,1042.7879975896424,1055.1816368771165,1069.34911304706,1073.2439692730047,1070.2514659639482,1.7970359897126646,1.818393941563461,1.8428087455501134,1.8495207491682577,1.84436376984155
0.054,1043.9102070678437,1056.1100218449933,1070.4047949983424,1074.2823010225209,1070.9969397581622,1.7989698926967665,1.819993826874223,1.8446280016832197,1.8513101057080863,1.8456484444261123
0.055,1045.0077933067778,1057.0138486692165,1071.435330259117,1075.2988518208913,1071.7292394053743,1.800861362466017,1.8215513911493693,1.8464039225382358,1.8530619271466389,1.8469104160103038
0.056,1046.0817255448983,1057.894290634029,1072.4417457730165,1076.2944615858285,1072.448831003196,1.8027120693085164,1.8230686563089975,1.8481382778465658,1.8547776609136528,1.8481504878198847
0.057,1047.1329185739664,1058.752447194862,1073.425009667237,1077.2699235966134,1073.1561561972371,1.8045235896844094,1.8245475170440555,1.8498327359812812,1.8564586740668823,1.8493694209424951
0.058,1048.1622366814838,1059.5893493904553,1074.386035555271,1078.2259878476343,1073.851633867048,1.8062974130198786,1.8259897501430429,1.851488871372017,1.858106259071249,1.8505679372330357
0.059,1049.1704972458128,1060.4059648099208,1075.3256864587938,1079.163364107741,1074.5356616689662,1.8080349479026117,1.827397023051751,1.8531081712635573,1.8597216390710263,1.851746721972458
0.06,1050.158474019856,1061.203202155797,1076.2447783880789,1080.0827247157113,1075.2086174502217,1.8097375277405647,1.8287709017367706,1.8546920418859631,1.8613059727072643,1.852906426304687
0.061,1051.1269001349217,1061.981915439834,1077.1440836156685,1080.984707138569,1075.8708605469892,1.811406415938524,1.8301128579160864,1.8562418140960872,1.8628603585265395,1.8540476694735581
0.062,1052.0764708527415,1062.7429078444625,1078.0243336740102,1081.8699163163976,1076.5227329776478,1.813042810640653,1.831424275713545,1.8577587485433988,1.8643858390217685,1.8551710408791582
0.063,1053.007846090412,1063.486935279578,1078.8862221042582,1082.7389268145755,1077.1645605412525,1.814647849081726,1.8327064577882588,1.859244040406992,1.8658834043411558,1.8562771019708213
