PEEQ,CT1,CT2,CT3,CT4,CT5,CT6
0.5,1.8964250951753971,0.0030217921450782035,0.02167617789903971,0.819022622411423,584.7692863404326,584.7692863404326
0.51,1.8986188374723878,0.003021455344860669,0.03176181373959992,0.829188815489854,584.7025164685867,584.7025164685867
0.52,1.9008125797693782,0.003021108393309743,0.04213751767211486,0.8402670297667852,584.639432363665,584.639432363665
0.53,1.9030063220663687,0.00302075354932339,0.05270685644960794,0.8521767926743266,584.5799569609476,584.5799569609476
0.54,1.9052000643633593,0.0030203926872328,0.0633697132181946,0.8648145531425943,584.5240139047246,584.5240139047246
0.55,1.90739380666035,0.0030200273612301528,0.074023291736,0.8780548199688158,584.4715275479233,584.4715275479233
0.56,1.9095875489573404,0.0030196588592292352,0.08456315207573073,0.8917517231896207,584.4224229517342,584.4224229517342
0.57,1.9117812912543308,0.003019288247842039,0.09488426723081608,0.9057409753082606,584.3766258852377,584.3766258852377
0.58,1.9139750335513217,0.003018916409897666,0.10488208982145562,0.9198422021997668,584.334062825029,584.334062825029
0.59,1.9161687758483121,0.0030185440757096093,0.11445361798404877,0.9338616069791444,584.2946609548425,584.2946609548425
0.6,1.9183625181453028,0.003018171849109267,0.12349844952654374,0.9475949241821569,584.2583481651719,584.2583481651719
0.61,1.9205562604422932,0.003017800229103102,0.13191981354322882,0.9608306163765336,584.2250530528905,584.2250530528905
0.62,1.922750002739284,0.0030174296278745122,0.1396255689043044,0.9733532608833093,584.1947049208662,584.1947049208662
0.63,1.9249437450362745,0.003017060385735902,0.1465291593659566,0.9849470707199516,584.1672337775727,584.1672337775727
0.64,1.9271374873332654,0.0030166927835386576,0.15255051548223145,0.995399491240905,584.1425703366984,584.1425703366984
0.65,1.9293312296302558,0.0030163270529661537,0.15761689403634668,1.0045048122935372,584.1206460167488,584.1206460167488
0.66,1.9315249719272465,0.0030159633850653854,0.16166364634068736,1.0120677350581486,584.1013929406434,584.1013929406434
0.67,1.933718714224237,0.0030156019373142767,0.16463490747515863,1.0179068331127952,584.084743935309,584.084743935309
0.68,1.9359124565212278,0.0030152428394725614,0.16648419933544753,1.021857848653061,584.0706325312636,584.0706325312636
0.69,1.9381061988182182,0.0030148861984229058,0.16717494123786736,1.0237767671825009,584.0589929621963,584.0589929621963
0.7,1.940299941115209,0.003014532102174426,0.16668086276687152,1.023542617333317,584.0497601645383,584.0497601645383
0.71,1.9424936834122,0.003014180623171827,0.16498631454541388,1.021059946724984,584.0428697770269,584.0428697770269
0.72,1.9446874257091906,0.0030138318210292934,0.1620864736469187,1.0162609298517582,584.0382581402607,584.0382581402607
0.73,1.9468811680061813,0.0030134857447880713,0.15798744144007917,1.0091070698250402,584.0358622962468,584.0358622962468
0.74,1.949074910303172,0.00301314243477992,0.15270623275304243,0.9995904622874,584.0356199879379,584.0356199879379
0.75,1.9512686526001628,0.003012801924164576,0.1462706563505486,0.9877345968547475,584.0374696587606,584.0374696587606
0.76,1.9534623948971537,0.0030124642401977487,0.13871908782493372,0.9735946789152141,584.0413504521338,584.0413504521338
0.77,1.9556561371941443,0.0030121294052764787,0.13010013709824078,0.9572574623941502,584.0472022109748,584.0472022109748
0.78,1.957849879491135,0.003011797437800613,0.12047221380678502,0.9388405920552425,584.0549654771967,584.0549654771967
0.79,1.9600436217881259,0.0030114683528825008,0.10990299488037972,0.9184914619159376,584.064581491193,584.064581491193
0.8,1.9622373640851165,0.0030111421629314492,0.09846879962540075,0.8963856042781193,584.0759921913109,584.0759921913109
0.81,1.9644311063821074,0.003010818878134879,0.0862538785637223,0.87272463158051,584.0891402133113,584.0891402133113
0.82,1.9666248486790983,0.0030104985068543054,0.07334962315865601,0.8477337606392991,584.1039688898176,584.1039688898176
0.83,1.9688185909760891,0.003010181055951139,0.05985370436534869,0.821658955735409,584.1204222497506,584.1204222497506
0.84,1.9710123332730798,0.0030098665310546464,0.045869148668395296,0.7947637333156674,584.138445017749,584.138445017749
0.85,1.9732060755700709,0.0030095549367822917,0.03150336090626898,0.7673256766956079,584.1579826135776,584.1579826135776
0.86,1.9753998178670615,0.003009246276920861,0.016867103724034646,0.7396327139898028,584.1789811515202,584.1789811515202
0.87,1.9775935601640524,0.003008940554575318,0.0020734439371628242,0.7119792164704698,584.2013874397571,584.2013874397571
0.88,1.9797873024610433,0.0030086377722911006,-0.012763323574448555,0.6846619776000104,584.2251489797292,584.2251489797292
0.89,1.9819810447580342,0.0030083379321545855,-0.027528763595317387,0.6579761350468101,584.2502139654846,584.2502139654846
0.9,1.984174787055025,0.0030080410358755798,-0.042109388962167614,0.632211099041171,584.2765312830105,584.2765312830105
0.91,1.986368529352016,0.003007747084855055,-0.05639373864175707,0.6076465504415391,584.3040505095488,584.3040505095488
0.92,1.9885622716490068,0.003007456080240746,-0.07027343463691176,0.584548570859357,584.3327219128944,584.3327219128944
0.93,1.9907560139459979,0.003007168022972777,-0.08364420707696635,0.5631659651502456,584.3624964506764,584.3624964506764
0.94,1.9929497562429888,0.0030068829138210976,-0.09640687717555561,0.5437268335529994,584.3933257696231,584.3933257696231
0.95,1.9951434985399796,0.0030066007534161913,-0.10846828817082442,0.5264354467957344,584.4251622048074,584.4251622048074
0.96,1.9973372408369707,0.0030063215422742665,-0.11974217489617217,0.5114694726556241,584.4579587788759,584.4579587788759
0.97,1.9995309831339614,0.0030060452808179064,-0.13014996325816947,0.4989775968346347,584.4916692012584,584.4916692012584
0.98,2.001724725430953,0.0030057719693930033,-0.1396214916158323,0.48907757469132834,584.5262478673591,584.5262478673591
0.99,2.0039184677279436,0.0030055016082826394,-0.14809564685465018,0.4818547434525523,584.5616498577278,584.5616498577278
1.0,2.0061122100249342,0.003005234197718463,-0.15552090882145883,0.4773610171328567,584.5978309372139,584.5978309372139
1.01,2.0083059523219253,0.0030049697378900057,-0.16185579772346664,0.47561437863603584,584.6347475540974,584.6347475540974
1.02,2.0104996946189164,0.0030047082289523263,-0.16706922008688913,0.4765988755303156,584.6723568392027,584.6723568392027
1.03,2.0126934369159075,0.003004449671032262,-0.1711407099075469,0.48026511790831683,584.7106166049905,584.7106166049905
1.04,2.0148871792128986,0.003004194064233553,-0.17406056269681158,0.486531268698417,584.749485344629,584.749485344629
1.05,2.0170809215098897,0.0030039414086410403,-0.17582986122046548,0.49528450891834,584.7889222310449,584.7889222310449
1.06,2.019274663806881,0.003003691704324099,-0.17646039283416584,0.5063829527846044,584.8288871159524,584.8288871159524
1.07,2.021468406103872,0.0030034449513394543,-0.17597445942593182,0.5196579804377693,584.8693405288607,584.8693405288607
1.08,2.023662148400863,0.0030032011497334804,-0.17440458207207135,0.5349169494309816,584.91024367606,584.91024367606
1.09,2.025855890697854,0.003002960299544086,-0.17179310358700203,0.5519462401668558,584.9515584395853,584.9515584395853
1.1,2.028049632994845,0.003002722400802258,-0.16819169318848964,0.5705145852529895,584.9932473761569,584.9932473761569
1.11,2.030243375291836,0.003002487453533321,-0.1636607584972809,0.5903766283647334,585.0352737160996,585.0352737160996
1.12,2.0324371175888274,0.0030022554577579714,-0.1582687710337066,0.6112766547265349,585.077601362238,585.077601362238
1.13,2.0346308598858185,0.0030020264134931218,-0.15209151225393291,0.6329524328064964,585.1201948887688,585.1201948887688
1.14,2.0368246021828096,0.003001800320752589,-0.14521124797612772,0.6551391053029008,585.1630195401094,585.1630195401094
1.15,2.0390183444798007,0.003001577179547663,-0.13771583977361151,0.6775730670098448,585.2060412297241,585.2060412297241
1.16,2.041212086776792,0.003001356989887566,-0.12969780255065125,0.699995767688142,585.249226538924,585.249226538924
1.17,2.043405829073783,0.003001139751779832,-0.12125331806039436,0.7221573796265042,585.2925427156446,585.2925427156446
1.18,2.045599571370774,0.003000925465230614,-0.11248121456797357,0.7438202721288489,585.335957673199,585.335957673199
1.19,2.047793313667765,0.0030007141302449366,-0.10348192320050414,0.7647622386620969,585.3794399890052,585.3794399890052
1.2,2.049987055964756,0.003000505746826905,-0.09435642175609332,0.7847794267848691,585.4229589032891,585.4229589032891
1.21,2.0521807982617477,0.0030003003149798703,-0.08520517686375326,0.8036889261762183,585.4664843177634,585.4664843177634
1.22,2.054374540558739,0.0030000978347065692,-0.07612709539402152,0.8213309760065682,585.5099867942793,585.5099867942793
1.23,2.0565682828557303,0.0029998983060092353,-0.06721849591611603,0.8375707594400043,585.5534375534547,585.5534375534547
1.24,2.0587620251527214,0.0029997017288896925,-0.058572110782643405,0.8522997601172925,585.5968084732758,585.5968084732758
1.25,2.0609557674497125,0.002999508103349431,-0.05027612909949163,0.8654366629233469,585.6400720876719,585.6400720876719
1.26,2.0631495097467036,0.0029993174293896654,-0.04241329040988136,0.8769277890657172,585.6832015850661,585.6832015850661
1.27,2.065343252043695,0.002999129707011388,-0.035060038392062044,0.8867470633521216,585.7261708068983,585.7261708068983
1.28,2.0675369943406867,0.002998944936215409,-0.0282857432452671,0.8948955194229464,585.7689542461226,585.7689542461226
1.29,2.069730736637678,0.0029987631170023885,-0.02215200072470592,0.9014003564369822,585.8115270456772,585.8115270456772
