Strain,Stress,delT,Rate,I_Temp,Temp
1.11,1179.0722455134537,0,0.0001,298.0,298.0
1.12,1179.3601452500277,0,0.0001,298.0,298.0
1.13,1179.6449528566327,0,0.0001,298.0,298.0
1.14,1179.9267284573582,0,0.0001,298.0,298.0
1.15,1180.2055304930332,0,0.0001,298.0,298.0
1.16,1180.4814157825,0,0.0001,298.0,298.0
1.17,1180.7544395811494,0,0.0001,298.0,298.0
1.18,1181.0246556368631,0,0.0001,298.0,298.0
1.19,1181.292116243502,0,0.0001,298.0,298.0
1.2,1181.5568722920643,0,0.0001,298.0,298.0
1.21,1181.8189733196334,0,0.0001,298.0,298.0
1.22,1182.0784675562322,0,0.0001,298.0,298.0
1.23,1182.335401969685,0,0.0001,298.0,298.0
1.24,1182.589822308591,0,0.0001,298.0,298.0
1.25,1182.841773143499,0,0.0001,298.0,298.0
1.26,1183.0912979063787,0,0.0001,298.0,298.0
1.27,1183.3384389284647,0,0.0001,298.0,298.0
1.28,1183.5832374765585,0,0.0001,298.0,298.0
1.29,1183.8257337878597,0,0.0001,298.0,298.0
1.3,1184.065967103396,0,0.0001,298.0,298.0
1.31,1184.3039757001245,0,0.0001,298.0,298.0
1.32,1184.5397969217554,0,0.0001,298.0,298.0
1.33,1184.773467208374,0,0.0001,298.0,298.0
1.34,1185.0050221249007,0,0.0001,298.0,298.0
1.35,1185.2344963884532,0,0.0001,298.0,298.0
1.36,1185.4619238946575,0,0.0001,298.0,298.0
1.37,1185.687337742956,0,0.0001,298.0,298.0
1.38,1185.9107702609565,0,0.0001,298.0,298.0
1.39,1186.1322530278665,0,0.0001,298.0,298.0
1.4,1186.3518168970568,0,0.0001,298.0,298.0
1.41,1186.5694920177827,0,0.0001,298.0,298.0
1.42,1186.7853078561131,0,0.0001,298.0,298.0
1.43,1186.99929321509,0,0.0001,298.0,298.0
1.44,1187.2114762541598,0,0.0001,298.0,298.0
1.45,1187.421884507905,0,0.0001,298.0,298.0
1.46,1187.6305449041029,0,0.0001,298.0,298.0
1.47,1187.8374837811468,0,0.0001,298.0,298.0
1.48,1188.042726904849,0,0.0001,298.0,298.0
1.49,1188.2462994846564,0,0.0001,298.0,298.0
1.5,1188.448226189303,0,0.0001,298.0,298.0
1.51,1188.6485311619183,0,0.0001,298.0,298.0
1.52,1188.8472380346182,0,0.0001,298.0,298.0
1.53,1189.0443699425978,0,0.0001,298.0,298.0
1.54,1189.2399495377472,0,0.0001,298.0,298.0
1.55,1189.433999001806,0,0.0001,298.0,298.0
1.56,1189.6265400590808,0,0.0001,298.0,298.0
1.57,1189.8175939887378,0,0.0001,298.0,298.0
1.58,1190.007181636689,0,0.0001,298.0,298.0
1.59,1190.195323427089,0,0.0001,298.0,298.0
1.6,1190.382039373457,0,0.0001,298.0,298.0
1.61,1190.5673490894355,0,0.0001,298.0,298.0
1.62,1190.7512717992065,0,0.0001,298.0,298.0
1.63,1190.93382634757,0,0.0001,298.0,298.0
1.64,1191.1150312097038,0,0.0001,298.0,298.0
1.65,1191.2949045006148,0,0.0001,298.0,298.0
1.66,1191.4734639842916,0,0.0001,298.0,298.0
1.67,1191.650727082571,0,0.0001,298.0,298.0
1.68,1191.8267108837315,0,0.0001,298.0,298.0
1.69,1192.001432150818,0,0.0001,298.0,298.0
1.7,1192.1749073297133,0,0.0001,298.0,298.0
1.71,1192.3471525569607,0,0.0001,298.0,298.0
1.72,1192.5181836673528,0,0.0001,298.0,298.0
1.73,1192.6880162012876,0,0.0001,298.0,298.0
1.74,1192.8566654119063,0,0.0001,298.0,298.0
1.75,1193.0241462720178,0,0.0001,298.0,298.0
1.76,1193.190473480816,0,0.0001,298.0,298.0
1.77,1193.3556614704012,0,0.0001,298.0,298.0
1.78,1193.5197244121102,0,0.0001,298.0,298.0
1.79,1193.6826762226603,0,0.0001,298.0,298.0
1.8,1193.8445305701157,0,0.0001,298.0,298.0
1.81,1194.0053008796822,0,0.0001,298.0,298.0
1.82,1194.1650003393363,0,0.0001,298.0,298.0
1.83,1194.3236419052917,0,0.0001,298.0,298.0
1.84,1194.481238307313,0,0.0001,298.0,298.0
1.85,1194.6378020538784,0,0.0001,298.0,298.0
1.86,1194.7933454371969,0,0.0001,298.0,298.0
1.87,1194.9478805380863,0,0.0001,298.0,298.0
1.88,1195.101419230717,0,0.0001,298.0,298.0
1.89,1195.2539731872216,0,0.0001,298.0,298.0
1.9,1195.4055538821808,0,0.0001,298.0,298.0
1.91,1195.5561725969849,0,0.0001,298.0,298.0
1.92,1195.705840424078,0,0.0001,298.0,298.0
1.93,1195.8545682710874,0,0.0001,298.0,298.0
1.94,1196.0023668648396,0,0.0001,298.0,298.0
1.95,1196.1492467552723,0,0.0001,298.0,298.0
1.96,1196.295218319241,0,0.0001,298.0,298.0
1.97,1196.440291764221,0,0.0001,298.0,298.0
1.98,1196.584477131919,0,0.0001,298.0,298.0
1.99,1196.7277843017837,0,0.0001,298.0,298.0
2.0,1196.8702229944283,0,0.0001,298.0,298.0
2.01,1197.0118027749625,0,0.0001,298.0,298.0
2.02,1197.152533056239,0,0.0001,298.0,298.0
2.03,1197.2924231020163,0,0.0001,298.0,298.0
2.04,1197.4314820300413,0,0.0001,298.0,298.0
2.05,1197.5697188150525,0,0.0001,298.0,298.0
2.06,1197.707142291707,0,0.0001,298.0,298.0
2.07,1197.843761157436,0,0.0001,298.0,298.0
2.08,1197.979583975224,0,0.0001,298.0,298.0
2.09,1198.114619176324,0,0.0001,298.0,298.0
2.1,1198.2488750629022,0,0.0001,298.0,298.0
2.11,1198.382359810617,0,0.0001,298.0,298.0
2.12,1198.5150814711344,0,0.0001,298.0,298.0
2.13,1198.6470479745865,0,0.0001,298.0,298.0
2.14,1198.778267131961,0,0.0001,298.0,298.0
2.15,1198.908746637443,0,0.0001,298.0,298.0
2.16,1199.0384940706915,0,0.0001,298.0,298.0
2.17,1199.1675168990662,0,0.0001,298.0,298.0
2.18,1199.2958224797997,0,0.0001,298.0,298.0
2.19,1199.423418062118,0,0.0001,298.0,298.0
2.2,1199.5503107893096,0,0.0001,298.0,298.0
2.21,1199.6765077007478,0,0.0001,298.0,298.0
2.22,1199.8020157338642,0,0.0001,298.0,298.0
2.23,1199.9268417260753,0,0.0001,298.0,298.0
2.24,1200.050992416666,0,0.0001,298.0,298.0
2.25,1200.1744744486284,0,0.0001,298.0,298.0
2.26,1200.2972943704583,0,0.0001,298.0,298.0
2.27,1200.41945863791,0,0.0001,298.0,298.0
2.28,1200.540973615712,0,0.0001,298.0,298.0
2.29,1200.6618455792418,0,0.0001,298.0,298.0
2.3,1200.7820807161652,0,0.0001,298.0,298.0
2.31,1200.901685128037,0,0.0001,298.0,298.0
2.32,1201.0206648318638,0,0.0001,298.0,298.0
2.33,1201.139025761638,0,0.0001,298.0,298.0
2.34,1201.2567737698291,0,0.0001,298.0,298.0
2.35,1201.37391462885,0,0.0001,298.0,298.0
2.36,1201.4904540324842,0,0.0001,298.0,298.0
2.37,1201.606397597287,0,0.0001,298.0,298.0
2.38,1201.7217508639517,0,0.0001,298.0,298.0
2.39,1201.836519298649,0,0.0001,298.0,298.0
2.4,1201.9507082943353,0,0.0001,298.0,298.0
2.41,1202.0643231720346,0,0.0001,298.0,298.0
2.42,1202.1773691820906,0,0.0001,298.0,298.0
2.43,1202.289851505393,0,0.0001,298.0,298.0
2.44,1202.4017752545783,0,0.0001,298.0,298.0
2.45,1202.5131454752034,0,0.0001,298.0,298.0
2.46,1202.623967146896,0,0.0001,298.0,298.0
2.47,1202.7342451844795,0,0.0001,298.0,298.0
2.48,1202.8439844390748,0,0.0001,298.0,298.0
2.49,1202.9531896991775,0,0.0001,298.0,298.0
2.5,1203.0618656917163,0,0.0001,298.0,298.0
2.51,1203.170017083086,0,0.0001,298.0,298.0
2.52,1203.2776484801586,0,0.0001,298.0,298.0
2.53,1203.3847644312782,0,0.0001,298.0,298.0
2.54,1203.4913694272298,0,0.0001,298.0,298.0
2.55,1203.5974679021922,0,0.0001,298.0,298.0
2.56,1203.7030642346692,0,0.0001,298.0,298.0
2.57,1203.8081627484044,0,0.0001,298.0,298.0
2.58,1203.9127677132738,0,0.0001,298.0,298.0
2.59,1204.016883346164,0,0.0001,298.0,298.0
