Tmp298.15K_StrRt0.0001_RD_E,Tmp298.15K_StrRt0.0001_RD_r,Tmp298.15K_StrRt0.0001_RD_U,Tmp298.15K_StrRt0.0001_RD_L,Tmp298.15K_StrRt0.0001_DD_E,Tmp298.15K_StrRt0.0001_DD_r,Tmp298.15K_StrRt0.0001_DD_U,Tmp298.15K_StrRt0.0001_DD_L,Tmp298.15K_StrRt0.0001_TD_E,Tmp298.15K_StrRt0.0001_TD_r,Tmp298.15K_StrRt0.0001_TD_U,Tmp298.15K_StrRt0.0001_TD_L,Tmp298.15K_StrRt0.001_RD_E,Tmp298.15K_StrRt0.001_RD_r,Tmp298.15K_StrRt0.001_RD_U,Tmp298.15K_StrRt0.001_RD_L,Tmp298.15K_StrRt0.001_DD_E,Tmp298.15K_StrRt0.001_DD_r,Tmp298.15K_StrRt0.001_DD_U,Tmp298.15K_StrRt0.001_DD_L,Tmp298.15K_StrRt0.001_TD_E,Tmp298.15K_StrRt0.001_TD_r,Tmp298.15K_StrRt0.001_TD_U,Tmp298.15K_StrRt0.001_TD_L,Tmp298.15K_StrRt0.01_RD_E,Tmp298.15K_StrRt0.01_RD_r,Tmp298.15K_StrRt0.01_RD_U,Tmp298.15K_StrRt0.01_RD_L,Tmp298.15K_StrRt0.01_DD_E,Tmp298.15K_StrRt0.01_DD_r,Tmp298.15K_StrRt0.01_DD_U,Tmp298.15K_StrRt0.01_DD_L,Tmp298.15K_StrRt0.01_TD_E,Tmp298.15K_StrRt0.01_TD_r,Tmp298.15K_StrRt0.01_TD_U,Tmp298.15K_StrRt0.01_TD_L,Tmp298.15K_StrRt0.1_RD_E,Tmp298.15K_StrRt0.1_RD_r,Tmp298.15K_StrRt0.1_RD_U,Tmp298.15K_StrRt0.1_RD_L,Tmp298.15K_StrRt0.1_DD_E,Tmp298.15K_StrRt0.1_DD_r,Tmp298.15K_StrRt0.1_DD_U,Tmp298.15K_StrRt0.1_DD_L,Tmp298.15K_StrRt0.1_TD_E,Tmp298.15K_StrRt0.1_TD_r,Tmp298.15K_StrRt0.1_TD_U,Tmp298.15K_StrRt0.1_TD_L
0.011,0.660733333,0.018866667,0.014633333,0.011,0.857066667,0.008633333,0.005566667,0.011,0.775266667,0.001533333,0.002366667,0.02,0.75,0.0562,0.0641,0.02,1.009175,0.195025,0.176875,0.02,0.7772,0.0881,0.1538,0.02,0.688533333,0.072566667,0.067433333,0.02,1.020966667,0.111933333,0.109266667,0.02,1.0057,0.2968,0.2417,0.02,0.766666667,0.046833333,0.074166667,0.02,1.099233333,0.048266667,0.064033333,0.02,0.847866667,0.170633333,0.104966667
0.012,0.6677,0.0207,0.0162,0.012,0.872866667,0.009033333,0.007266667,0.012,0.782866667,0.002333333,0.003666667,0.021,0.7779,0.059,0.0821,0.021,1.00335,0.17595,0.16625,0.021,0.781366667,0.084733333,0.146866667,0.021,0.702,0.0774,0.0592,0.021,1.011833333,0.128866667,0.099333333,0.021,0.989133333,0.271466667,0.230333333,0.021,0.764966667,0.044433333,0.063866667,0.021,1.099033333,0.045066667,0.060933333,0.021,0.8462,0.1723,0.103
0.013,0.6735,0.0212,0.0172,0.013,0.893,0.0203,0.013,0.013,0.787066667,0.002633333,0.005066667,0.022,0.7719,0.0443,0.0509,0.022,1.002225,0.150375,0.157825,0.022,0.7837,0.0959,0.1388,0.022,0.7173,0.0793,0.0505,0.022,1.006666667,0.156733333,0.101266667,0.022,0.976033333,0.242766667,0.209133333,0.022,0.7635,0.0416,0.0545,0.022,1.099433333,0.043266667,0.058733333,0.022,0.844833333,0.173766667,0.099833333
0.014,0.677733333,0.016866667,0.012033333,0.014,0.890366667,0.005733333,0.006866667,0.014,0.7929,0.0018,0.0019,0.023,0.756566667,0.034833333,0.063366667,0.023,0.999925,0.122675,0.150325,0.023,0.788433333,0.103566667,0.128333333,0.023,0.729,0.0761,0.043,0.023,1.004366667,0.187933333,0.109266667,0.023,0.9641,0.2196,0.1868,0.023,0.762333333,0.040666667,0.046733333,0.023,1.0999,0.0418,0.0569,0.023,0.843033333,0.174766667,0.093933333
0.015,0.678533333,0.018766667,0.010933333,0.015,0.9042,0.0052,0.0066,0.015,0.7986,0.004,0.0032,0.024,0.7591,0.0382,0.0374,0.024,0.99975,0.09625,0.14285,0.024,0.791533333,0.107566667,0.115033333,0.024,0.740733333,0.060866667,0.031333333,0.024,1.0095,0.222,0.1149,0.024,0.9548,0.2027,0.1693,0.024,0.762133333,0.039366667,0.037733333,0.024,1.1004,0.0407,0.0556,0.024,0.8425,0.1743,0.0876
0.016,0.683566667,0.016433333,0.010066667,0.016,0.906833333,0.005966667,0.005033333,0.016,0.8061,0.0062,0.008,0.025,0.7615,0.0714,0.0756,0.025,1.003275,0.066625,0.125775,0.025,0.795066667,0.103833333,0.099266667,0.025,0.7506,0.0465,0.0236,0.025,1.016633333,0.267266667,0.137933333,0.025,0.9475,0.19,0.1492,0.025,0.760366667,0.040333333,0.032566667,0.025,1.100833333,0.039766667,0.054633333,0.025,0.841833333,0.173066667,0.089833333
0.017,0.6894,0.015,0.0113,0.017,0.918133333,0.003566667,0.004133333,0.017,0.803466667,0.000533333,0.000466667,0.026,0.7616,0.063,0.0786,0.026,1.009675,0.063325,0.105475,0.026,0.800333333,0.096366667,0.077533333,0.026,0.7627,0.0375,0.019,0.026,1.0292,0.3153,0.1694,0.026,0.9418,0.1713,0.1245,0.026,0.758366667,0.041833333,0.028266667,0.026,1.101266667,0.038933333,0.054266667,0.026,0.8406,0.1704,0.0931
0.018,0.6913,0.0142,0.0112,0.018,0.9213,0.0044,0.0077,0.018,0.810266667,0.003733333,0.004666667,0.027,0.744066667,0.059633333,0.035966667,0.027,1.015325,0.077575,0.089425,0.027,0.806366667,0.082733333,0.051966667,0.027,0.775866667,0.029533333,0.015966667,0.027,1.037633333,0.348566667,0.191133333,0.027,0.9483,0.1464,0.0976,0.027,0.755666667,0.044633333,0.026466667,0.027,1.101633333,0.038366667,0.054433333,0.027,0.840233333,0.166166667,0.094333333
0.019,0.696033333,0.011266667,0.008633333,0.019,0.925066667,0.003333333,0.004466667,0.019,0.817333333,0.005266667,0.008333333,0.028,0.7667,0.0422,0.0562,0.028,1.024725,0.092475,0.076225,0.028,0.812166667,0.065333333,0.035666667,0.028,0.785933333,0.022366667,0.012533333,0.028,1.0435,0.3684,0.2088,0.028,0.957233333,0.126866667,0.075233333,0.028,0.752966667,0.047433333,0.025266667,0.028,1.1008,0.0393,0.0577,0.028,0.8403,0.1599,0.094
0.02,0.6973,0.0143,0.0099,0.02,0.935333333,0.000566667,0.000833333,0.02,0.816533333,0.002766667,0.005233333,0.029,0.739166667,0.053733333,0.040566667,0.029,1.033625,0.097675,0.071025,0.029,0.8208,0.0445,0.0426,0.029,0.793366667,0.015633333,0.008566667,0.029,1.054533333,0.382566667,0.230933333,0.029,0.9662,0.1067,0.0552,0.029,0.7504,0.0504,0.0257,0.029,1.098666667,0.041633333,0.064466667,0.029,0.842,0.1538,0.0927
0.021,0.699333333,0.011266667,0.008333333,0.021,0.941066667,0.008133333,0.009266667,0.021,0.818866667,0.007433333,0.004666667,0.03,0.744066667,0.059333333,0.036866667,0.03,1.0408,0.0949,0.0689,0.03,0.829433333,0.023166667,0.044933333,0.03,0.7996,0.015,0.0119,0.03,1.064666667,0.391533333,0.253866667,0.03,0.975266667,0.085433333,0.057866667,0.03,0.747833333,0.053666667,0.028833333,0.03,1.095833333,0.044566667,0.074233333,0.03,0.843466667,0.147833333,0.091666667
0.022,0.705066667,0.013133333,0.010266667,0.022,0.9422,0.0052,0.0067,0.022,0.823833333,0.005166667,0.008133333,0.031,0.748333333,0.060766667,0.036433333,0.031,1.049525,0.091575,0.071725,0.031,0.8381,0.0355,0.039,0.031,0.805833333,0.018466667,0.017033333,0.031,1.074466667,0.388333333,0.271866667,0.031,0.9827,0.0704,0.0658,0.031,0.745266667,0.056633333,0.031466667,0.031,1.095,0.0449,0.0809,0.031,0.845666667,0.142633333,0.090466667
0.023,0.7061,0.0107,0.0081,0.023,0.945466667,0.002633333,0.002466667,0.023,0.824966667,0.003433333,0.002266667,0.032,0.735,0.0577,0.0383,0.032,1.059375,0.078325,0.078975,0.032,0.841933333,0.045566667,0.034233333,0.032,0.811633333,0.025166667,0.023033333,0.032,1.075366667,0.369533333,0.275266667,0.032,0.986566667,0.057933333,0.064266667,0.032,0.742933333,0.058966667,0.033433333,0.032,1.094066667,0.044433333,0.087766667,0.032,0.848966667,0.139433333,0.089966667
0.024,0.705866667,0.009633333,0.007066667,0.024,0.9505,0.0027,0.0052,0.024,0.8266,0.0046,0.0023,0.033,0.739466667,0.062433333,0.043466667,0.033,1.0649,0.078,0.0915,0.033,0.8446,0.049,0.0255,0.033,0.816,0.0366,0.0313,0.033,1.069066667,0.345933333,0.268066667,0.033,0.99,0.0537,0.0613,0.033,0.740866667,0.060733333,0.034566667,0.033,1.095433333,0.055966667,0.097233333,0.033,0.852533333,0.136666667,0.089233333
0.025,0.707966667,0.007733333,0.006866667,0.025,0.955466667,0.003333333,0.004066667,0.025,0.8266,0.0016,0.0016,0.034,0.754366667,0.043133333,0.033266667,0.034,1.069225,0.090175,0.096425,0.034,0.8462,0.05,0.0358,0.034,0.819066667,0.044033333,0.038166667,0.034,1.0583,0.3275,0.2546,0.034,0.992133333,0.054766667,0.059633333,0.034,0.739066667,0.061733333,0.034866667,0.034,1.096733333,0.069966667,0.106833333,0.034,0.856266667,0.134033333,0.088366667
0.026,0.7085,0.009,0.0055,0.026,0.9577,0.0077,0.0076,0.026,0.831366667,0.002533333,0.003066667,0.035,0.740833333,0.042766667,0.025833333,0.035,1.0775,0.0935,0.1028,0.035,0.846966667,0.049933333,0.044566667,0.035,0.821166667,0.047233333,0.043066667,0.035,1.051633333,0.313266667,0.237433333,0.035,0.9946,0.0603,0.0597,0.035,0.737366667,0.062133333,0.034666667,0.035,1.095433333,0.080166667,0.113433333,0.035,0.860033333,0.131666667,0.087433333
