Strain,RD_R_value,DD_R_value,TD_R_value
1.45,0.8399477441995719,1.0293245036565262,1.0022801228559797
1.46,0.8399477441996623,1.0293245036565262,1.0022801228559797
1.47,0.8399477441997528,1.0293245036565262,1.0022801228559797
1.48,0.8399477441998433,1.0293245036565262,1.0022801228559797
1.49,0.8399477441999339,1.0293245036565262,1.0022801228559797
1.5,0.8399477442000244,1.0293245036565262,1.0022801228559797
1.51,0.8399477442001149,1.0293245036565262,1.0022801228559797
1.52,0.8399477442002053,1.0293245036565262,1.0022801228559797
1.53,0.8399477442002958,1.0293245036565262,1.0022801228559797
1.54,0.8399477442003863,1.0293245036565262,1.0022801228559797
1.55,0.8399477442004768,1.0293245036565262,1.0022801228559797
1.56,0.8399477442005673,1.0293245036565262,1.0022801228559797
1.57,0.8399477442006578,1.0293245036565262,1.0022801228559797
1.58,0.8399477442007482,1.0293245036565262,1.0022801228559797
1.59,0.8399477442008387,1.0293245036565262,1.0022801228559797
1.6,0.8399477442009293,1.0293245036565262,1.0022801228559797
1.61,0.8399477442010197,1.0293245036565262,1.0022801228559797
1.62,0.8399477442011103,1.0293245036565262,1.0022801228559797
1.63,0.8399477442012008,1.0293245036565262,1.0022801228559797
1.64,0.8399477442012913,1.0293245036565262,1.0022801228559797
1.65,0.8399477442013817,1.0293245036565262,1.0022801228559797
1.66,0.8399477442014722,1.0293245036565262,1.0022801228559797
1.67,0.8399477442015627,1.0293245036565262,1.0022801228559797
1.68,0.8399477442016532,1.0293245036565262,1.0022801228559797
1.69,0.8399477442017437,1.0293245036565262,1.0022801228559797
1.7,0.8399477442018342,1.0293245036565262,1.0022801228559797
1.71,0.8399477442019246,1.0293245036565262,1.0022801228559797
1.72,0.8399477442020151,1.0293245036565262,1.0022801228559797
1.73,0.8399477442021056,1.0293245036565262,1.0022801228559797
1.74,0.8399477442021962,1.0293245036565262,1.0022801228559797
1.75,0.8399477442022867,1.0293245036565262,1.0022801228559797
1.76,0.8399477442023772,1.0293245036565262,1.0022801228559797
1.77,0.8399477442024676,1.0293245036565262,1.0022801228559797
1.78,0.8399477442025581,1.0293245036565262,1.0022801228559797
1.79,0.8399477442026486,1.0293245036565262,1.0022801228559797
1.8,0.8399477442027391,1.0293245036565262,1.0022801228559797
1.81,0.8399477442028296,1.0293245036565262,1.0022801228559797
1.82,0.8399477442029201,1.0293245036565262,1.0022801228559797
1.83,0.8399477442030105,1.0293245036565262,1.0022801228559797
1.84,0.839947744203101,1.0293245036565262,1.0022801228559797
1.85,0.8399477442031915,1.0293245036565262,1.0022801228559797
1.86,0.8399477442032821,1.0293245036565262,1.0022801228559797
1.87,0.8399477442033726,1.0293245036565262,1.0022801228559797
1.88,0.8399477442034631,1.0293245036565262,1.0022801228559797
1.89,0.8399477442035536,1.0293245036565262,1.0022801228559797
1.9,0.839947744203644,1.0293245036565262,1.0022801228559797
1.91,0.8399477442037345,1.0293245036565262,1.0022801228559797
1.92,0.839947744203825,1.0293245036565262,1.0022801228559797
1.93,0.8399477442039155,1.0293245036565262,1.0022801228559797
1.94,0.839947744204006,1.0293245036565262,1.0022801228559797
1.95,0.8399477442040965,1.0293245036565262,1.0022801228559797
1.96,0.8399477442041869,1.0293245036565262,1.0022801228559797
1.97,0.8399477442042774,1.0293245036565262,1.0022801228559797
1.98,0.8399477442043679,1.0293245036565262,1.0022801228559797
1.99,0.8399477442044585,1.0293245036565262,1.0022801228559797
2.0,0.8399477442045489,1.0293245036565262,1.0022801228559797
2.01,0.8399477442046395,1.0293245036565262,1.0022801228559797
2.02,0.83994774420473,1.0293245036565262,1.0022801228559797
2.03,0.8399477442048204,1.0293245036565262,1.0022801228559797
2.04,0.8399477442049109,1.0293245036565262,1.0022801228559797
2.05,0.8399477442050014,1.0293245036565262,1.0022801228559797
2.06,0.8399477442050919,1.0293245036565262,1.0022801228559797
2.07,0.8399477442051824,1.0293245036565262,1.0022801228559797
2.08,0.8399477442052729,1.0293245036565262,1.0022801228559797
2.09,0.8399477442053633,1.0293245036565262,1.0022801228559797
2.1,0.8399477442054538,1.0293245036565262,1.0022801228559797
2.11,0.8399477442055443,1.0293245036565262,1.0022801228559797
2.12,0.8399477442056348,1.0293245036565262,1.0022801228559797
2.13,0.8399477442057253,1.0293245036565262,1.0022801228559797
2.14,0.8399477442058159,1.0293245036565262,1.0022801228559797
2.15,0.8399477442059063,1.0293245036565262,1.0022801228559797
2.16,0.8399477442059968,1.0293245036565262,1.0022801228559797
2.17,0.8399477442060873,1.0293245036565262,1.0022801228559797
2.18,0.8399477442061778,1.0293245036565262,1.0022801228559797
2.19,0.8399477442062683,1.0293245036565262,1.0022801228559797
2.2,0.8399477442063588,1.0293245036565262,1.0022801228559797
2.21,0.8399477442064492,1.0293245036565262,1.0022801228559797
2.22,0.8399477442065397,1.0293245036565262,1.0022801228559797
2.23,0.8399477442066302,1.0293245036565262,1.0022801228559797
2.24,0.8399477442067207,1.0293245036565262,1.0022801228559797
2.25,0.8399477442068113,1.0293245036565262,1.0022801228559797
2.26,0.8399477442069018,1.0293245036565262,1.0022801228559797
2.27,0.8399477442069923,1.0293245036565262,1.0022801228559797
2.28,0.8399477442070827,1.0293245036565262,1.0022801228559797
2.29,0.8399477442071732,1.0293245036565262,1.0022801228559797
2.3,0.8399477442072637,1.0293245036565262,1.0022801228559797
2.31,0.8399477442073542,1.0293245036565262,1.0022801228559797
2.32,0.8399477442074447,1.0293245036565262,1.0022801228559797
2.33,0.8399477442075352,1.0293245036565262,1.0022801228559797
