Tmp373.15K_StrRt0.0001_RD_E,Tmp373.15K_StrRt0.0001_RD_S,Tmp373.15K_StrRt0.001_RD_E,Tmp373.15K_StrRt0.001_RD_S,Tmp373.15K_StrRt0.01_RD_E,Tmp373.15K_StrRt0.01_RD_S,Tmp373.15K_StrRt0.1_RD_E,Tmp373.15K_StrRt0.1_RD_S
0.023475526,972.548645,0.024033999,980.5097046,0.017678207,950.0041504,,
0.023574198,972.8222656,0.024134871,980.7877197,0.017779432,950.3597412,,
0.023685321,973.1518555,0.02423887,981.0655518,0.01788637,950.7352295,,
0.023790065,973.5409546,0.0243492,981.3605347,0.017986579,951.0795898,,
0.023890683,973.8122559,0.024450051,981.7316284,0.018066851,951.4082031,,
0.023988875,974.1105957,0.024559066,981.9958496,0.018152924,951.7562256,,
0.024085511,974.3922729,0.024670769,982.3184204,0.018246887,952.1120605,,
0.024184184,974.7190552,0.024771001,982.6248169,0.018349612,952.4714355,,
0.02428815,975.0551147,0.024873955,982.9407349,0.018433642,952.8203735,,
0.024390625,975.3117065,0.024982389,983.2250366,0.018503239,953.1386719,,
0.024492217,975.7415161,0.0250837,983.4562988,0.018580597,953.4707031,,
0.024594966,976.0617065,0.025184987,983.8122559,0.01867594,953.8092041,,
0.024693964,976.4124146,0.025301659,984.1037598,0.018778479,954.1531372,,
0.024790341,976.7002563,0.0254014,984.3331299,0.018884204,954.4957275,,
0.024896717,977.1056519,0.025500305,984.6815186,0.018974463,954.850708,,
0.024998918,977.3520508,0.025608636,984.9926147,0.019053441,955.171814,,
0.025098717,977.6895752,0.025710754,985.2301025,0.019139269,955.4866943,,
0.025196886,977.9454346,0.025810227,985.5271606,0.01923277,955.8217773,,
0.025293205,978.2347412,0.025918571,985.7562256,0.019331282,956.137207,,
0.025391748,978.5640259,0.026025424,986.0527344,0.019426174,956.4466553,,
0.025490545,978.8825073,0.026135357,986.3223267,0.019516721,956.7572021,,
0.0255957,979.2095337,0.026237769,986.5570679,0.019609226,957.0918579,,
0.025693493,979.5419312,0.026334032,986.8745728,0.019704564,957.4086304,,
0.025795268,979.7872925,0.02643769,987.1219482,0.01978704,957.7147827,,
0.02590223,980.121521,0.026535826,987.4294434,0.019873247,958.03125,,
