PEEQ,stress_fit
1.27,1.132716731182176
1.28,1.132965591921022
1.29,1.133202260826269
1.3,1.1334276611797125
1.31,1.1336427485486453
1.32,1.133848503257889
1.33,1.1340459227874635
1.34,1.1342360141408256
1.35,1.1344197862275796
1.36,1.134598242303377
1.37,1.1347723725085785
1.38,1.1349431465457414
1.39,1.135111506534902
1.4,1.1352783600843301
1.41,1.135444573613326
1.42,1.135610965962792
1.43,1.1357783023284829
1.44,1.1359472885513344
1.45,1.1361185657989232
1.46,1.136292705671842
1.47,1.1364702057688076
1.48,1.1366514857442902
1.49,1.1368368838926086
1.5,1.1370266542923666
1.51,1.137220964545162
1.52,1.1374198941421676
1.53,1.1376234334915938
1.54,1.137831483639154
1.55,1.138043856712093
1.56,1.1382602771152754
1.57,1.1384803835050255
1.58,1.1387037315627975
1.59,1.138929797586128
1.6,1.1391579829089344
1.61,1.139387619156611
1.62,1.1396179743337433
1.63,1.1398482597336046
1.64,1.1400776376489183
1.65,1.1403052298525018
1.66,1.1405301268049717
1.67,1.1407513975341554
1.68,1.1409681001180036
1.69,1.1411792926894002
1.7,1.1413840448679125
1.71,1.1415814495102523
1.72,1.1417706346584715
1.73,1.141950775553188
1.74,1.142121106568487
1.75,1.142280932916241
1.76,1.142429641960689
1.77,1.1425667139796372
1.78,1.142691732206818
1.79,1.1428043919912294
1.8,1.1429045089138077
1.81,1.14299202570962
1.82,1.143067017855314
1.83,1.1431296976963388
1.84,1.1431804170067756
1.85,1.1432196678959383
1.86,1.1432480820000355
1.87,1.1432664279236833
1.88,1.1432756069242802
1.89,1.1432766468616906
1.9,1.1432706944656115
1.91,1.143259006002611
1.92,1.1432429364535681
1.93,1.1432239273390377
1.94,1.1432034933547117
1.95,1.1431832080003206
1.96,1.143164688403179
1.97,1.143149579551031
1.98,1.1431395381579879
1.99,1.1431362163916758
2.0,1.1431412456894294
2.01,1.1431562208862134
2.02,1.1431826848674926
2.03,1.143222113946602
2.04,1.1432759041487877
2.05,1.1433453585636475
2.06,1.143431675904694
2.07,1.14353594038986
2.08,1.143659113030804
2.09,1.1438020243922742
2.1,1.1439653688564757
2.11,1.1441497004017893
